English,Russian
the,а
be,быть
and,а также
of,из
a,а
in,в
to,к
have,имеют
to,к
it,Это
I,я
that,что
for,за
you,ты
he,он
with,с
on,на
do,делать
s,с
say,сказать
they,Oни
this,это
but,но
at,в
we,мы
his,его
from,из
that,что
not,нет
n't,не
by,по
or,или же
she,она
as,в качестве
what,какие
go,идти
their,их
will,будут
who,кто
can,Можно
get,получить
if,если
all,все
would,бы
her,ей
make,делать
about,о
my,мой
know,знать
as,в качестве
there,там
one,один
up,вверх
time,время
year,год
so,так
think,считать
see,видеть
which,который
when,когда
some,немного
them,их
people,люди
take,брать
me,мне
out,вне
into,в
just,просто
him,его
come,прийти
your,ваш
now,в настоящее время
could,мог
than,чем
like,как
other,Другой
then,тогда
how,как
its,это
two,два
our,наш
more,более
these,эти
want,хочу
way,путь
no,нет
look,Смотреть
first,первый
also,также
new,новый
because,потому что
day,день
more,более
use,использовать
man,человек
here,здесь
find,найти
give,дайте
thing,вещь
well,Что ж
many,много
only,Только
those,те
tell,сказать
very,очень
one,один
even,даже
her,ей
back,назад
any,Любые
good,хороший
us,нас
through,через
woman,женщина
life,жизнь
child,ребенок
there,там
down,вниз
work,Работа
after,после
call,вызов
may,май
world,Мир
over,над
should,должен
still,Все еще
try,пытаться
in,в
school,школа
as,в качестве
last,последний
ask,спросить
too,слишком
need,необходимость
three,три
feel,Чувствовать
when,когда
become,стали
state,государство
never,никогда
between,между
high,высокая
something,что-нибудь
really,В самом деле
most,самый
another,еще один
much,много
own,собственный
family,семья
out,вне
house,дом
leave,оставлять
put,помещать
old,старый
on,на
while,пока
mean,иметь в виду
let,позволять
why,Почему
president,президент
keep,хранить
same,такой же
great,большой
begin,начинать
big,большой
seem,казаться
group,группа
country,страна
talk,разговаривать
problem,проблема
where,куда
turn,повернуть
student,ученик
every,каждый
hand,рука
help,помощь
against,против
start,Начало
American,Американец
part,часть
show,показывать
about,о
over,над
might,мощь
such,такой
place,место
again,опять таки
city,город
case,кейс
most,самый
few,несколько
system,система
week,неделя
where,куда
